Gene Symbol	Name	Entrez GeneId	Genome Location	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Synonyms																				
AMER1	APC membrane recruitment protein 1	139285	X:64186117-64193286	Wilms tumour			"AMER1	RP11-403E24_2	WTX	FLJ39827	ENSG00000184675	FAM123B	139285"														
APC	adenomatous polyposis of the colon gene	324	5:112754891-112844126	"colorectal	 pancreatic	 desmoid	 hepatoblastoma	 glioma	 other CNS"	"colorectal	 pancreatic	 desmoid	 hepatoblastoma	 glioma	 other CNS"	"adenomatous polyposis coli; Turcot syndrome"	"324	DP2	DP2_5	DP3	GS	FPC	P25054	ENSG00000134982	APC"		
ARID1A	AT rich interactive domain 1A (SWI-like)	8289	1:26696404-26780756	"clear cell ovarian carcinoma	 RCC	 breast"			"ARID1A	BAF250	BAF250a	P270	RP1-50O24_1	B120	BM029	C1orf4	SMARCF1	ENSG00000117713	8289"								
ATM	ataxia telangiectasia mutated	472	11:108227625-108365508	T-PLL	"leukaemia	 lymphoma	 medulloblastoma	 glioma"	ataxia-telangiectasia	"ATM	TELO1	ATA	ATC	ATDC	MGC74674	Q13315	AT1	DKFZp781A0353	ATE	ATD	TEL1	ENSG00000149311	472"				
AXIN1	axin 1	8312	16:288122-347025	"colorectal	 endometrial	 prostate	 hepatocellular carcinoma	 hepatoblastoma	 sporadic medulloblastoma"			"8312	LA16c-314G4_3	MGC52315	AXIN	O15169	ENSG00000103126	AXIN1"									
BIRC3	baculoviral IAP repeat-containing 3	330	11:102324510-102337102	"CLL	 MALT	 MCL	 MM"			"BIRC3	AIP1	HAIP1	RNF49	hiap-1	MALT2	cIAP2	API2	CIAP2	MIHC	Q13489	HIAP1	ENSG00000023445	330"				
BRCA1	familial breast/ovarian cancer gene 1	672	17:43045678-43124096	ovarian	"breast	 ovarian"	hereditary breast/ovarian cancer	"BRCA1	BRCAI	PSCP	RNF53	BRCC1	IRIS	ENSG00000012048	672"												
BRCA2	familial breast/ovarian cancer gene 2	675	13:32316461-32398770	"breast	 ovarian	 pancreatic"	"breast	 ovarian	 pancreatic	 leukaemia  (FANCB	 FANCD1)"	hereditary breast/ovarian cancer	"675	FAD	RP11-298P3_4	BRCC2	FANCD1	FANCD	FAD1	FACD	ENSG00000139618	BRCA2"					
CDKN2A	cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene	1029	9:21968229-21974827	"melanoma	 multiple other tumour types"	"melanoma	 pancreatic"	familial malignant melanoma	"CDKN2A	CDK4I	INK4	MLM	p14ARF	p16INK4	CDKN2	INK4a	p16INK4a	p19	MTS1	p16	TP16	ARF	CMM2	p14	P42771	ENSG00000147889	1029"
CDKN2C	"cyclin-dependent kinase inhibitor 2C (p18	 inhibits CDK4)"	1031	1:50970369-50974270	"glioma	 MM"			"1031	P42773	p18-INK4C	p18	INK4C	ENSG00000123080	CDKN2C"												
CDKN2a(p14)	cyclin-dependent kinase inhibitor 2A--  p14ARF protein	1029	9:-	"melanoma	 multiple other tumour types"	"melanoma	 pancreatic"	familial malignant melanoma																			
FANCA	"Fanconi anemia	 complementation group A"	2175	16:89738601-89816615		"AML	 leukaemia"	Fanconi anaemia A	"2175	MGC75158	FACA	FA1	FANCH	FAA	FA	FA-H	ENSG00000187741	FANCA"									
FANCC	"Fanconi anemia	 complementation group C"	2176	9:95101707-95249291		"AML	 leukaemia"	Fanconi anaemia C	"FANCC	ENSG00000158169	FLJ14675	FACC	FA3	FAC	RP11-80I15_2	2176"											
FANCD2	"Fanconi anemia	 complementation group D2"	2177	3:10028658-10098950		"AML	 leukaemia"	Fanconi anaemia D2	"2177	FANCD	DKFZp762A223	FAD2	FA-D2	FA4	FACD	FAD	FLJ23826	ENSG00000144554	FANCD2"								
FBXO11	F-box protein 11	80204	2:47808118-47839749	DLBCL			"80204	MGC44383	FBX11	FLJ12673	PRMT9	UG063H01	VIT1	Q86XK2	ENSG00000138081	FBXO11"											
FBXW7	"F-box and WD-40 domain protein 7 (archipelago homolog	 Drosophila)"	55294	4:152322881-152411803	"colorectal	 endometrial	 T-ALL"			"55294	AGO	FBX30	DKFZp686F23254	FBW7	SEL10	FBXW6	CDC4	SEL-10	FLJ11071	ENSG00000109670	FBXW7"						
GPC3	glypican 3	2719	X:133536124-133985449		Wilms tumour	Simpson-Golabi-Behmel syndrome	"GPC3	OCI-5	SGBS1	AC002420_1	P51654	SDYS	DGSX	SGB	SGBS	ENSG00000147257	2719"										
IKZF1	IKAROS family zinc finger 1	10320	7:50319062-50400628	"ALL	 DLBCL"			"10320	LyF-1	IKAROS	ZNFN1A1	hIk-1	Hs_54452	Q13422	ENSG00000185811	IKZF1"											
KDM6A	"lysine (K)-specific demethylase 6A	 UTX"	7403	X:44873552-45111411	"renal	 oesophageal SCC	 MM"			"UTX	O15550	bA386N14_2	MGC141941	RP13-886N14_3	DKFZp686A03225	ENSG00000147050	7403	UTX"									
MAP2K4	mitogen-activated protein kinase kinase 4	6416	17:12020887-12141260	"pancreatic	 breast	 colorectal"			"6416	MEK4	SEK1	JNKK	MAPKK4	PRKMK4	MKK4	JNKK1	SERK1	ENSG00000065559	P45985	MAP2K4"							
MEN1	multiple endocrine neoplasia type 1 gene	4221	11:64804334-64810109	"parathyroid tumours	 pancreatic neuroendocrine tumour"	"parathyroid adenoma	 pituitary adenoma	 pancreatic islet cell	 carcinoid"	multiple endocrine neoplasia type 1	"MEN1	ENSG00000133895	4221"														
MLH1	E.coli MutL homolog gene	4292	3:36993548-37050653	"colorectal	 endometrial	 ovarian	 CNS tumours"	"colorectal	 endometrial	 ovarian	 CNS"	"hereditary non-polyposis colorectal cancer	 Turcot syndrome"	"MLH1	COCA2	HNPCC	MGC5172	P40692	HNPCC2	FCC2	hMLH1	ENSG00000076242	4292"				
MSH2	mutS homolog 2 (E. coli)	4436	2:47403192-47482949	"colorectal	 endometrial	 ovarian"	"colorectal	 endometrial	 ovarian"	hereditary non-polyposis colorectal cancer	"4436	COCA1	P43246	HNPCC1	FCC1	HNPCC	ENSG00000095002	MSH2"									
NF1	neurofibromatosis type 1 gene	4763	17:31095310-31374155	"neurofibroma	 glioma"	"neurofibroma	 glioma"	neurofibromatosis type 1	"NF1	NFNS	P21359	ENSG00000196712	4763"														
NF2	neurofibromatosis type 2 gene	4771	22:29603999-29694802	"meningioma	 acoustic neuroma	 renal"	"meningioma	 acoustic neuroma"	neurofibromatosis type 2	"4771	ACN	BANF	Merlin	SCH	P35240	ENSG00000186575	NF2"										
PAX5	paired box gene 5 (B-cell lineage specific activator protein)	5079	9:36840560-37034031	"NHL	 ALL	 B-ALL"			"PAX5	Q02548	BSAP	ENSG00000196092	5079"														
PBRM1	polybromo 1	55193	3:52548063-52679711	"clear cell renal carcinoma	 breast"			"55193	BAF180	MGC156155	MGC156156	PB1	PBRM1"														
PRDM1	"PR domain containing 1	 with ZNF domain"	639	6:106088267-106107486	DLBCL			"639	BLIMP1	MGC118923	O75626	RP1-134E15_1	MGC118922	MGC118924	PRDI-BF1	MGC118925	ENSG00000057657	PRDM1"									
PTEN	phosphatase and tensin homolog gene	5728	10:87864470-87965472	"glioma	 prostate	 endometrial"	"harmartoma	 glioma	 prostate	 endometrial"	"Cowden syndrome	 Bannayan-Riley-Ruvalcaba syndrome"	"5728	MMAC1	ENSG00000171862	BZS	P60484	MHAM	PTEN1	MGC11227	PTEN"						
RB1	retinoblastoma gene	5925	13:48303913-48480071	"retinoblastoma	 sarcoma	 breast	 small cell lung carcinoma"	"retinoblastoma	 sarcoma	 breast	 small cell lung carcinoma"	familial retinoblastoma	"ENSG00000139687	OSRC	P06400	RB	5925	RB1"									
SMAD4	SMAD family member 4	4089	18:-	"colorectal	 pancreatic	 small intestine"	gastrointestinal polyp	juvenile polyposis																			
SMARCB1	"SWI/SNF related	 matrix associated	 actin dependent regulator of chromatin	 subfamily b	 member 1"	6598	22:23787170-23834180	malignant rhabdoid	malignant rhabdoid	rhabdoid predisposition syndrome	"6598	Ini1	Q12824	Sfh1p	INI1	SNF5	hSNFS	BAF47	RDT	SNF5L1	Snr1	ENSG00000099956	SMARCB1"				
STK11	serine/threonine kinase 11 gene (LKB1)	6794	19:1206914-1226647	"NSCLC	 pancreatic"	"jejunal hamartoma	 ovarian	 testicular	 pancreatic"	Peutz-Jeghers syndrome	"6794	LKB1	PJS	Q15831	ENSG00000118046	STK11"											
SUFU	suppressor of fused homolog (Drosophila)	51684	10:102504153-102630155	medulloblastoma	medulloblastoma	medulloblastoma predisposition	"51684	RP11-47A8_1	SUFUH	Q9UMX1	SUFUXL	PRO1280	ENSG00000121410	SUFU"													
TNFAIP3	"tumor necrosis factor	 alpha-induced protein 3"	7128	6:137871228-137881319	"marginal zone B-cell lymphomas	 Hodgkin lymphoma	 PMBL"			"7128	TNFA1P2	P21580	MGC138688	A20	MGC104522	MGC138687	OTUD7C	ENSG00000118503	TNFAIP3"								
TSC1	tuberous sclerosis 1 gene	7248	9:132896235-132928872	"renal cell carcinoma	 bladder carcinoma"	"hamartoma	 renal cell carcinoma	 tuberous sclerosis tuber"	Tuberous sclerosis 1	"TSC1	KIAA0243	hamartin	LAM	MGC86987	TSC	ENSG00000165699	7248"										
TSC2	tuberous sclerosis 2 gene	7249	16:2048616-2088610	"pulmonary lymphangioleiomyomatosis (LAM)	 renal angiomyolipoma	 HNSCC"	"hamartoma	 renal cell carcinoma	 tuberous sclerosis tuber"	Tuberous sclerosis 2	"7249	FLJ43106	TSC4	tuberin	LAM	ENSG00000103197	TSC2"										
VHL	von Hippel-Lindau syndrome gene	7428	3:10141848-10149965	"renal	 haemangioma	 pheochromocytoma"	"renal	 haemangioma	 pheochromocytoma"	Von Hippel-Lindau syndrome	"P40337	HRCA1	VHL1	RCA1	ENSG00000134086	VHL	7428"										
WT1	Wilms tumour 1 gene	7490	11:32389058-32435141	"Wilms tumour	 desmoplastic small round cell tumour"	Wilms tumour	"Denys-Drash syndrome	 Frasier syndrome	 familial Wilms tumour"	"7490	WAGR	WIT-2	GUD	WT33	ENSG00000184937	WT1"											
