entrez	symbol	description	locus	hprd	hgnc	mim	refpro	refdna	ensembl	type	dominant	recessive	duplicability	origin	degree	mirna	function	expression	chromosome	tstart	tend	type_of_screening	cancer_type
208	AKT2	v-akt murine thymoma viral oncogene homolog 2	19q13.1-q13.2	01262	392	164731	NP_001229956;NP_001229957;NP_001617	NM_001243027;NM_001243028;NM_001626	ENSP00000375892	cgc	1	0	1	Last Universal Common Ancestor	20	5	Cellular metabolism,Cellular processes	21	chr19	40739782	40771174	Amplified,CGC,WES	breast,ovarian,pancreas
10000	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	1q44	06441	393	611223	NP_001193658;NP_005456;NP_859029	NM_001206729;NM_005465;NM_181690	ENSP00000355498;ENSP00000336943	cgc	0	0	1	Last Universal Common Ancestor	5	8	Cellular metabolism,Cellular processes,Signal transduction	97	chr1	243668554	244006472	Amplified,CGC	
367	AR	androgen receptor	Xq12	02437	644	313700	NP_000035;NP_001011645	NM_000044;NM_001011645	ENSP00000363822	cgc	0	0	0	Last Universal Common Ancestor	245	5	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	64	chrX	66764989	66943680	Amplified,CGC,WES	prostate
10552	ARPC1A	actin related protein 2/3 complex, subunit 1A, 41kDa	7q22.1	07252	703	604220	NP_006400;NP_001177925	NM_006409;NM_001190996	ENSP00000262942	cgc	0	0	3	Last Universal Common Ancestor	4	0	Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism	100	chr7	98930977	98963549	Amplified,CGC	
6790	AURKA	aurora kinase A	20q13	04352	11393	603072	NP_940836;NP_003591;NP_940838;NP_940839;NP_940835;NP_940837	NM_198434;NM_003600;NM_198436;NM_198437;NM_198433;NM_198435	ENSP00000216911;ENSP00000379245;ENSP00000379250;ENSP00000379249;ENSP00000321591;ENSP00000379251	cgc	0	0	1	Last Universal Common Ancestor	97	5	Cell cycle,Cellular metabolism,Cellular processes,Regulation of transcription,Signal transduction	43	chr20	54945217	54963253	Amplified,CGC	
9530	BAG4	BCL2-associated athanogene 4	8p11.23	04861	940	603884	NP_001191807;NP_004865	NM_001204878;NM_004874	ENSP00000287322	cgc	0	0	1	Eukaryotes	42	1	Cell cycle,Cellular metabolism,Cellular processes,Development,Regulation of intracellular processes and metabolism	3	chr8	38034388	38068008	Amplified,CGC	
599	BCL2L2	BCL2-like 2	14q11.2-q12	03569	995	601931	NP_001186768;NP_004041	NM_001199839;NM_004050	ENSP00000250405	cgc	0	0	0	Metazoans	21	9	Cell cycle,Development,Multicellular activities,Regulation of intracellular processes and metabolism	93	chr14	23776977	23778171	Amplified,CGC	
329	BIRC2	baculoviral IAP repeat containing 2	11q22	03419	590	601712	NP_001157	NM_001166	ENSP00000227758;ENSP00000431723	cgc	0	0	0	Eukaryotes	31	4	Cell cycle,Development,Regulation of intracellular processes and metabolism,Signal transduction	107	chr11	102220586	102248911	Amplified,CGC	
56946	C11orf30	chromosome 11 open reading frame 30	11q13.5	10544	18071	608574	NP_064578	NM_020193	ENSP00000334130	cgc	0	0	0	Eukaryotes	19	1	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	12	chr11	76157983	76261187	Amplified,CGC	
56892	C8orf4	chromosome 8 open reading frame 4	8p11.2	09650	1357	607702	NP_064515	NM_020130	ENSP00000319914	cgc	0	0	0	Vertebrates	3	4	Cell cycle	29	chr8	40011052	40011369	Amplified,CGC	
777	CACNA1E	calcium channel, voltage-dependent, R type, alpha 1E subunit	1q25-q31	03006	1392	601013	NP_001192223;NP_000712;NP_001192222	NM_001205294;NM_000721;NM_001205293	ENSP00000434814	cgc	0	0	0	Last Universal Common Ancestor	4	0	Cellular processes,Multicellular activities	10	chr1	181452881	181767967	Amplified,CGC	
595	CCND1	cyclin D1	11q13	01346	1582	168461	NP_444284	NM_053056	ENSP00000227507	cgc	1	0	0	Last Universal Common Ancestor	24	31	Cell cycle,Cell response to stimuli,Cellular metabolism,Cellular processes,Development,Regulation of intracellular processes and metabolism,Signal transduction	73	chr11	69456082	69466047	Amplified,CGC,WES,WGS	breast,leukemia,lung,myeloma
894	CCND2	cyclin D2	12p13	00451	1583	123833	NP_001750	NM_001759	ENSP00000261254	cgc	1	0	1	Last Universal Common Ancestor	28	21	Cell cycle,Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism,Signal transduction	105	chr12	4383207	4409172	Amplified,CGC,WGS	chronic lymphocytic leukemia,non-hodgkin lymphoma
898	CCNE1	cyclin E1	19q12	00455	1589	123837	NP_001229	NM_001238;NM_057182	ENSP00000262643	cgc	1	0	0	Last Universal Common Ancestor	74	13	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	31	chr19	30303594	30314681	Amplified,CGC	ovarian
990	CDC6	cell division cycle 6 homolog (S. cerevisiae)	17q21.3	04022	1744	602627	NP_001245	NM_001254	ENSP00000209728	cgc	0	0	0	Last Universal Common Ancestor	46	3	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	43	chr17	38445673	38458250	Amplified,CGC,WGS	breast
